pid,mlId
tom_hanks,1
tim_allen,1
don_rickles,1
robin_williams,2
kirsten_dunst,2
bonnie_hunt,2
walter_matthau,3
jack_lemmon,3
ann_margret,3
whitney_houston,4
angela_bassett,4
loretta_devine,4
steve_martin,5
diane_keaton,5
martin_short,5
al_pacino,6
robert_de_niro,6
val_kilmer,6
humphrey_bogart,7
audrey_hepburn,7
william_holden,7
jonathan_taylor_thomas,8
brad_renfro,8
charles_rocket,8
jean_claude_van_damme,9
powers_boothe,9
raymond_j_barry,9
pierce_brosnan,10
sean_bean,10
izabella_scorupco,10
leslie_nielsen,12
mel_brooks,12
peter_macnicol,12
kevin_bacon,13
bob_hoskins,13
bridget_fonda,13
anthony_hopkins,14
joan_allen,14
powers_boothe,14
geena_davis,15
matthew_modine,15
frank_langella,15
robert_de_niro,16
sharon_stone,16
joe_pesci,16
emma_thompson,17
kate_winslet,17
james_fleet,17
tim_roth,18
antonio_banderas,18
sammi_davis,18
jim_carrey,19
ian_mcneice,19
simon_callow,19
wesley_snipes,20
woody_harrelson,20
jennifer_lopez,20
gene_hackman,21
rene_russo,21
danny_devito,21
sigourney_weaver,22
holly_hunter,22
dermot_mulroney,22
sylvester_stallone,23
antonio_banderas,23
julianne_moore,23
mary_steenburgen,24
sean_patrick_flanery,24
lance_henriksen,24
nicolas_cage,25
elisabeth_shue,25
julian_sands,25
laurence_fishburne,26
kenneth_branagh,26
ir_ne_jacob,26
christina_ricci,27
demi_moore,27
rosie_o_donnell,27
richard_e_grant,28
henry_golding,28
ben_bailey_smith,28
michelle_pfeiffer,31
george_dzundza,31
courtney_b_vance,31
james_cromwell,34
magda_szubanski,34
christine_cavanaugh,34
susan_sarandon,36
sean_penn,36
robert_prosky,36
kirstie_alley,38
steve_guttenberg,38
mary_kate_olsen,38
alicia_silverstone,39
stacey_dash,39
brittany_murphy,39
richard_harris,40
james_earl_jones,40
vusi_kunene,40
ian_mckellen,41
annette_bening,41
christopher_bowen,41
larenz_tate,42
keith_david,42
chris_tucker,42
robert_downey_jr,43
sam_neill,43
david_thewlis,43
lewis_tan,44
jessica_mcnamee,44
josh_lawson,44
nicole_kidman,45
matt_dillon,45
joaquin_phoenix,45
winona_ryder,46
ellen_burstyn,46
anne_bancroft,46
mel_gibson,48
linda_hunt,48
christian_bale,48
pascale_bussi_res,49
rachael_crawford,49
henry_czerny,49
woody_allen,52
mira_sorvino,52
pamela_blair,52
enrico_lo_verso,53
michele_placido,53
piro_milkani,53
jennifer_jason_leigh,55
mare_winningham,55
ted_levine,55
holly_hunter,57
anne_bancroft,57
robert_downey_jr,57
sally_field,61
kiefer_sutherland,61
ed_harris,61
richard_dreyfuss,62
glenne_headly,62
jay_thomas,62
shawn_wayans,63
marlon_wayans,63
keenen_ivory_wayans,63
sandra_bullock,64
denis_leary,64
stephen_dillane,64
pauly_shore,65
stephen_baldwin,65
william_atherton,65
patrick_bergin,66
matt_frewer,66
austin_o_brien,66
ice_cube,69
chris_tucker,69
nia_long,69
harvey_keitel,70
george_clooney,70
juliette_lewis,70
naomi_watts,71
sean_penn,71
sonya_davison,71
josh_hamilton,72
eric_stoltz,72
samuel_gould,72
christian_slater,74
mary_stuart_masterson,74
pamela_adlon,74
rick_moranis,75
tom_arnold,75
julianne_phillips,75
peter_weller,76
roy_dupuis,76
jennifer_rubin,76
nico,77
tina_aumont,77
christian_p_ffgen,77
andy_garcia,81
christopher_walken,81
christopher_lloyd,81
al_freeman_jr,83
phylicia_rashad,83
leon,83
mark_rylance,85
kristin_scott_thomas,85
patsy_kensit,85
jeff_bridges,86
caroline_goodall,86
john_savage,86
jason_alexander,87
faye_dunaway,87
eric_lloyd,87
chris_farley,88
david_spade,88
tim_matheson,88
johnny_depp,89
christopher_walken,89
courtney_chase,89
julia_roberts,92
john_malkovich,92
george_cole,92
eddie_murphy,93
angela_bassett,93
allen_payne,93
matt_dillon,94
timothy_hutton,94
noah_emmerich,94
john_travolta,95
christian_slater,95
samantha_mathis,95
hanna_allsaar,96
jan_erik_aruvald,96
inna_hallik,96
nick_broomfield,99
nina_xining_zuo,99
madam_alex,99
al_pacino,100
john_cusack,100
bridget_fonda,100
luke_wilson,101
owen_wilson,101
ned_dowd,101
ellen_degeneres,102
bill_pullman,102
joan_cusack,102
poppy_montgomery,103
dylan_walsh,103
james_hiroyuki_liao,103
adam_sandler,104
christopher_mcdonald,104
julie_bowen,104
tim_curry,107
billy_connolly,107
jennifer_saunders,107
christy_turlington,108
azzedine_ala_a,108
giorgio_armani,108
mel_gibson,110
sophie_marceau,110
patrick_mcgoohan,110
robert_de_niro,111
jodie_foster,111
cybill_shepherd,111
meryl_streep,113
liam_neeson,113
edward_furlong,113
kenneth_branagh,116
glenn_close,116
isa_baschwitz,116
sarah_jessica_parker,118
eric_schaeffer,118
ben_stiller,118
andy_garcia,119
