pid,mlId
john_lasseter,1
joe_johnston,2
howard_deutch,3
forest_whitaker,4
charles_shyer,5
michael_mann,6
billy_wilder,7
peter_hewitt,8
peter_hyams,9
martin_campbell,10
mel_brooks,12
simon_wells,13
oliver_stone,14
renny_harlin,15
martin_scorsese,16
ang_lee,17
allison_anders_alexandre_rockwell_robert_rodriguez,18
steve_oedekerk,19
joseph_ruben,20
barry_sonnenfeld,21
jon_amiel,22
richard_donner,23
victor_salva,24
mike_figgis,25
oliver_parker,26
lesli_linka_glatter,27
carrie_cracknell,28
john_n_smith,31
chris_noonan,34
tim_robbins,36
andy_tennant,38
amy_heckerling,39
darrell_roodt,40
richard_loncraine,41
albert_hughes_allen_hughes,42
michael_hoffman,43
simon_mcquoid,44
gus_van_sant,45
jocelyn_moorhouse,46
mike_gabriel_eric_goldberg,48
patricia_rozema,49
woody_allen,52
gianni_amelio,53
ulu_grosbard,55
jodie_foster,57
john_schlesinger,61
stephen_herek,62
paris_barclay,63
bill_bennett,64
jason_bloom,65
farhad_mann,66
f_gary_gray,69
robert_rodriguez,70
doug_liman,71
noah_baumbach,72
michael_goldenberg,74
steve_miner,75
christian_duguay,76
susanne_ofteringer,77
gary_fleder,81
tim_reid,83
philip_haas,85
ridley_scott,86
ken_kwapis,87
penelope_spheeris,88
john_badham,89
stephen_frears,92
wes_craven,93
ted_demme,94
john_woo,95
davide_abbatescianni,96
nick_broomfield,99
harold_becker,100
wes_anderson,101
nick_castle,102
dennis_dugan,104
brian_henson,107
robert_leacock,108
mel_gibson,110
martin_scorsese,111
barbet_schroeder,113
jon_blair,116
eric_schaeffer,118
andrew_davis,119
reginald_hudlin,122
david_o_russell,125
michel_negroponte,128
william_friedkin,132
david_s_ward,135
barry_levinson,137
raa_marchant,140
michael_bay,145
hal_hartley,149
ron_howard,150
michael_caton_jones,151
andrew_spanswick_tam_s_barok,152
joel_schumacher,153
john_boorman,155
paul_auster_wayne_wang_harvey_wang,156
michael_moore,157
brad_silberling,158
spike_lee,159
frank_marshall,160
tony_scott,161
terry_zwigoff,162
robert_rodriguez,163
carl_franklin,164
john_mctiernan,165
jerry_zucker,168
dwight_h_little,169
iain_softley,170
christopher_ashley,171
robert_longo,172
danny_cannon,173
larry_clark,175
tom_dicillo,176
clive_barker,177
gaspar_no,178
antonia_bird,179
kevin_smith,180
thomas_c_grane,181
anthony_waller,183
michael_almereyda,184
chris_columbus,186
daisy_von_scherler_mayer,187
emre_alu,188
boaz_yakin,190
paul_verhoeven,193
wayne_wang,194
lasse_hallstr_m,195
roger_donaldson,196
kathryn_bigelow,198
martha_coolidge,201
agnieszka_holland,202
beeban_kidron,203
geoff_murphy,204
diane_keaton,205
douglas_keeve,206
kevin_reynolds,208
desmond_nakano,209
dexter_fletcher,210
greg_beeman,212
richard_linklater,215
tamra_davis,216
william_butler,217
herbert_ross,218
andrea_staka,219
stuart_gordon,220
pat_o_connor,222
kevin_smith,223
jeremy_leven,224
barry_levinson,225
john_badham,227
jack_baran,228
roman_polanski,229
taylor_hackford,230
atom_egoyan,233
garry_marshall,234
tim_burton,235
lawrence_kasdan,236
billy_crystal,237
phillip_borsos,238
brett_leonard,240
carlo_carlei,241
mark_lewis,243
steve_james,246
peter_jackson,247
randall_miller,248
bernard_rose,249
ben_steele,251
fred_schepisi,252
james_ivory,254
ivan_reitman,256
arne_glimcher,257
barbet_schroeder,259
george_lucas,260
greta_gerwig,261
ken_loach,263
edward_zwick,266
nick_castle,267
leo_mccarey,270
stephen_gyllenhaal,271
stephen_herek,274
nora_ephron,275
richard_benjamin,276
george_seaton,277
david_frankel,278
marc_rocco,280
robert_benton,281
michael_apted,282
nick_gomez,283
vadim_jean,285
alan_jacobs,287
oliver_stone,288
norman_jewison,289
lee_tamahori,290
anne_goursaud,291
wolfgang_petersen,292
quentin_tarantino,296
scott_stewart,299
robert_redford,300
peter_yates,304
fred_gerber,310
george_mihalka,311
harold_ramis,312
richard_rich,313
roland_emmerich,316
danny_boyle,319
scott_mcgehee_david_siegel,320
george_huang,322
kelly_makin,325
rachel_talalay,327
david_carson,329
rusty_cundieff,330
don_tjernagel,331
john_carpenter,332
peter_segal,333
louis_malle,334
mike_lenzini,335
lasse_hallstr_m,337
brett_leonard,338
jon_turteltaub,339
masakazu_ohara_shinichi_omata,340
mina_shum,341
p_j_hogan,342
tom_shadyac,344
iain_softley,346
roman_polanski,347
woody_allen,348
phillip_noyce,349
todd_kwait_rob_stegman,350
jessie_nelson,351
spike_lee,352
eric_darnell,353
ron_shelton,354
robert_zemeckis,356
mike_newell,357
john_singleton,358
darnell_martin,359
charles_shyer,360
andrew_bergman,361
bernardo_bertolucci,365
scott_glosserman,367
richard_donner,368
alan_rudolph,369
peter_segal,370
nathan_mitzenmacher,371
ben_stiller,372
john_dahl,373
donald_petrie,374
jan_de_bont,377
peter_hyams,379
james_cameron,380
luis_mandoki,381
mike_nichols,382
lawrence_kasdan,383
joel_schumacher,384
jefery_levy,386
russ_meyer,390
doug_mchenry,391
steven_e_de_souza,393
michael_corrente,406
john_carpenter,407
john_g_avildsen,408
jeff_pollack,409
