mlId,gid
1,adventure
1,animation
1,children
1,comedy
1,fantasy
2,adventure
2,children
2,fantasy
3,comedy
3,romance
4,comedy
4,drama
4,romance
5,comedy
6,action
6,crime
6,thriller
7,comedy
7,romance
8,adventure
8,children
9,action
10,action
10,adventure
10,thriller
11,comedy
11,drama
11,romance
12,comedy
12,horror
13,adventure
13,animation
13,children
14,drama
15,action
15,adventure
15,romance
16,crime
16,drama
17,drama
17,romance
18,comedy
19,comedy
20,action
20,comedy
20,crime
20,drama
20,thriller
21,comedy
21,crime
21,thriller
22,crime
22,drama
22,horror
22,mystery
22,thriller
23,action
23,crime
23,thriller
24,drama
24,sci_fi
25,drama
25,romance
26,drama
27,children
27,drama
28,drama
28,romance
29,adventure
29,drama
29,fantasy
29,mystery
29,sci_fi
30,crime
30,drama
31,drama
32,mystery
32,sci_fi
32,thriller
34,children
34,drama
36,crime
36,drama
38,children
38,comedy
39,comedy
39,romance
40,drama
41,drama
41,war
42,action
42,crime
42,drama
43,drama
44,action
44,adventure
44,fantasy
45,comedy
45,drama
45,thriller
46,drama
46,romance
47,mystery
47,thriller
48,animation
48,children
48,drama
48,musical
48,romance
49,drama
49,romance
50,crime
50,mystery
50,thriller
52,comedy
52,drama
52,romance
53,adventure
53,drama
54,children
54,comedy
55,drama
57,drama
58,comedy
58,drama
58,romance
60,adventure
60,children
60,fantasy
61,drama
61,thriller
62,drama
63,comedy
63,crime
64,comedy
64,romance
65,comedy
66,action
66,sci_fi
66,thriller
68,comedy
68,romance
69,comedy
70,action
70,comedy
70,horror
70,thriller
71,action
72,comedy
72,drama
73,drama
73,war
74,drama
74,romance
75,comedy
75,drama
76,action
76,sci_fi
76,thriller
77,documentary
78,action
78,crime
78,drama
78,thriller
79,drama
79,thriller
80,children
80,drama
81,crime
81,drama
81,romance
82,comedy
82,drama
83,drama
83,romance
85,drama
85,romance
86,action
86,adventure
86,drama
87,children
87,comedy
88,comedy
89,action
89,thriller
92,drama
92,horror
92,thriller
93,comedy
93,horror
93,romance
94,comedy
94,drama
94,romance
95,action
95,adventure
95,thriller
96,comedy
96,drama
97,crime
97,drama
99,documentary
100,drama
100,thriller
101,adventure
101,comedy
101,crime
101,romance
102,comedy
103,mystery
103,sci_fi
103,thriller
104,comedy
105,drama
105,romance
106,comedy
106,drama
107,adventure
107,children
107,comedy
107,musical
108,documentary
110,action
110,drama
110,war
111,crime
111,drama
111,thriller
112,action
112,adventure
112,comedy
112,crime
113,drama
113,mystery
116,documentary
117,crime
117,drama
118,comedy
118,romance
119,comedy
121,drama
122,comedy
122,romance
123,drama
123,mystery
123,romance
125,comedy
126,adventure
126,children
126,fantasy
128,documentary
129,comedy
129,romance
132,thriller
135,comedy
137,documentary
140,drama
140,romance
141,comedy
144,comedy
145,action
145,comedy
145,crime
145,drama
145,thriller
146,adventure
146,children
147,drama
148,drama
149,crime
149,drama
149,thriller
150,adventure
150,drama
150,imax
151,action
151,drama
151,romance
151,war
152,drama
152,horror
153,action
153,adventure
153,comedy
153,crime
154,drama
155,adventure
155,drama
155,war
156,comedy
156,drama
157,comedy
157,war
158,adventure
158,children
159,crime
159,drama
159,mystery
160,action
160,adventure
160,mystery
160,sci_fi
161,drama
161,thriller
161,war
162,documentary
163,action
163,romance
163,western
164,crime
164,film_noir
164,mystery
164,thriller
165,action
165,crime
165,thriller
166,comedy
166,crime
166,drama
168,action
168,drama
168,romance
169,adventure
169,children
169,drama
170,action
170,adventure
170,crime
170,thriller
171,comedy
171,drama
172,action
172,sci_fi
172,thriller
173,action
173,crime
173,sci_fi
174,comedy
175,drama
176,comedy
177,horror
178,comedy
178,drama
179,drama
179,romance
180,comedy
180,romance
181,action
181,children
183,comedy
183,horror
183,thriller
184,drama
185,action
185,crime
185,thriller
186,comedy
186,romance
187,comedy
188,fantasy
188,horror
188,mystery
189,comedy
189,fantasy
190,thriller
191,drama
191,romance
193,drama
194,comedy
194,drama
195,comedy
195,drama
195,romance
196,horror
196,sci_fi
198,action
198,crime
198,drama
198,mystery
198,sci_fi
198,thriller
199,drama
199,musical
199,romance
201,drama
201,fantasy
202,drama
202,romance
203,comedy
204,action
205,comedy
205,drama
206,documentary
207,drama
207,romance
208,action
208,adventure
208,sci_fi
209,drama
210,western
211,drama
212,adventure
212,comedy
212,crime
212,mystery
213,drama
214,drama
214,war
215,drama
215,romance
216,comedy
217,drama
217,thriller
218,comedy
218,drama
219,drama
220,horror
222,drama
222,romance
223,comedy
224,comedy
224,drama
224,romance
225,drama
225,thriller
227,action
227,thriller
