pid,name
john_lasseter,John Lasseter
tom_hanks,Tom Hanks
tim_allen,Tim Allen
don_rickles,Don Rickles
joe_johnston,Joe Johnston
robin_williams,Robin Williams
kirsten_dunst,Kirsten Dunst
bonnie_hunt,Bonnie Hunt
howard_deutch,Howard Deutch
walter_matthau,Walter Matthau
jack_lemmon,Jack Lemmon
ann_margret,Ann-Margret
forest_whitaker,Forest Whitaker
whitney_houston,Whitney Houston
angela_bassett,Angela Bassett
loretta_devine,Loretta Devine
charles_shyer,Charles Shyer
steve_martin,Steve Martin
diane_keaton,Diane Keaton
martin_short,Martin Short
michael_mann,Michael Mann
al_pacino,Al Pacino
robert_de_niro,Robert De Niro
val_kilmer,Val Kilmer
billy_wilder,Billy Wilder
humphrey_bogart,Humphrey Bogart
audrey_hepburn,Audrey Hepburn
william_holden,William Holden
peter_hewitt,Peter Hewitt
jonathan_taylor_thomas,Jonathan Taylor Thomas
brad_renfro,Brad Renfro
charles_rocket,Charles Rocket
peter_hyams,Peter Hyams
jean_claude_van_damme,Jean-Claude Van Damme
powers_boothe,Powers Boothe
raymond_j_barry,Raymond J. Barry
martin_campbell,Martin Campbell
pierce_brosnan,Pierce Brosnan
sean_bean,Sean Bean
izabella_scorupco,Izabella Scorupco
mel_brooks,Mel Brooks
leslie_nielsen,Leslie Nielsen
peter_macnicol,Peter MacNicol
simon_wells,Simon Wells
kevin_bacon,Kevin Bacon
bob_hoskins,Bob Hoskins
bridget_fonda,Bridget Fonda
oliver_stone,Oliver Stone
anthony_hopkins,Anthony Hopkins
joan_allen,Joan Allen
renny_harlin,Renny Harlin
geena_davis,Geena Davis
matthew_modine,Matthew Modine
frank_langella,Frank Langella
martin_scorsese,Martin Scorsese
sharon_stone,Sharon Stone
joe_pesci,Joe Pesci
ang_lee,Ang Lee
emma_thompson,Emma Thompson
kate_winslet,Kate Winslet
james_fleet,James Fleet
allison_anders_alexandre_rockwell_robert_rodriguez,"Allison Anders, Alexandre Rockwell, Robert Rodriguez"
tim_roth,Tim Roth
antonio_banderas,Antonio Banderas
sammi_davis,Sammi Davis
steve_oedekerk,Steve Oedekerk
jim_carrey,Jim Carrey
ian_mcneice,Ian McNeice
simon_callow,Simon Callow
joseph_ruben,Joseph Ruben
wesley_snipes,Wesley Snipes
woody_harrelson,Woody Harrelson
jennifer_lopez,Jennifer Lopez
barry_sonnenfeld,Barry Sonnenfeld
gene_hackman,Gene Hackman
rene_russo,Rene Russo
danny_devito,Danny DeVito
jon_amiel,Jon Amiel
sigourney_weaver,Sigourney Weaver
holly_hunter,Holly Hunter
dermot_mulroney,Dermot Mulroney
richard_donner,Richard Donner
sylvester_stallone,Sylvester Stallone
julianne_moore,Julianne Moore
victor_salva,Victor Salva
mary_steenburgen,Mary Steenburgen
sean_patrick_flanery,Sean Patrick Flanery
lance_henriksen,Lance Henriksen
mike_figgis,Mike Figgis
nicolas_cage,Nicolas Cage
elisabeth_shue,Elisabeth Shue
julian_sands,Julian Sands
oliver_parker,Oliver Parker
laurence_fishburne,Laurence Fishburne
kenneth_branagh,Kenneth Branagh
ir_ne_jacob,Irène Jacob
lesli_linka_glatter,Lesli Linka Glatter
christina_ricci,Christina Ricci
demi_moore,Demi Moore
rosie_o_donnell,Rosie O'Donnell
carrie_cracknell,Carrie Cracknell
richard_e_grant,Richard E. Grant
henry_golding,Henry Golding
ben_bailey_smith,Ben Bailey Smith
john_n_smith,John N. Smith
michelle_pfeiffer,Michelle Pfeiffer
george_dzundza,George Dzundza
courtney_b_vance,Courtney B. Vance
chris_noonan,Chris Noonan
